,reviews
1411,"
It was good according to the price. But the sound quality doesn't match with the video. Means when you watch a video with those airpod, the characters say a word and you will hear the sound in your airpod after a moment. It is good for listening music rather than watching movie. Otherwise overall it's good.
"
1412,"
I loved these when I got them! Now they don't hold a charge very long and they are under a year old. I wonder if the company  will send me a new charger?
"
1413,"
I usually use the ear buds to talk on the phone in public. I hear just fine but those on the other end can't hear me as well. The noise cancellation is very good. Battery life is good so far.
"
1414,"
Excelente
"
1415,"
Bought this as a gift for my mom. She doesn’t understand tech that well but she was able to use these on her own. I have tried 2 other options for wireless headphones and these are the ones she wants to keep. The touch can be a little sensitive but I’m glad that it’s touch and not a button like other models. Touch allows for easier choosing for my mom. She doesn’t have to press hard at all to get where she needs to go.
"
1416,
1417,"
Worth it for the price. Good quality, I work in outdoor conditions below 20• usually they still work fine, every couple hours I change out the side because the battery needs to charge recommend only using 1 side at a time if you’re using them for more then 2 or 3 hours at a time non stop. I’d buy them again without hesitation.
"
1418,"
These are great! Fit my little ears, great sound and noise blocking. The price is even better!
"
1419,"
They are great I love them so much I use them all the time and I only charged one time and I got them may 26 2022 they work perfectly
"
1420,"
Listen to music
"
1421,"
They worked great for the first week but now they sometimes stop whatever I'm listening too without touching them or anything so I have to stop what I'm doing and go turn it back on other then that they aren't bad headphones especially for the price
"
1422,"
I use this product on a day to day but the music doesn't cancel all the noise I get on a day but still high recommended from the price
"
1423,"
Very nice headphones for the budget price...Great sound, easy pairing, comfortable to wear and great battery life. Unfortunately, the controls are terrible. No matter how you try to single tap, double tap etc they never do what you want. Anytime I try to advance to the next song, the tap either pauses (supposed to be a single tap) or tries to open Google assistant doesnt skip to the next song. Then when I do try to pause with a single tap, it advances to the next song. Unfortunately, this is really a pain as the whole point of headphones like this is to be able to control your phone with a few simple taps vs having to take your phone out of your pocket or wherever it may be. Too bad they couldnt make this work the way it should, which I have found seems to be a common issue with these budget wireless ""pods""UPDATE. Seller reached out to me offering a replacement. Provided my address per their request but replacement never arrived.
"
1424,"
These are my first pair of wireless ear buds. I’m very happy with them. I’ve learned how to use them and the Sound is great. Love using them while walking & on the treadmill. Great price too!
"
1425,"
Very pleased with comfort and fit.  I got a pair for me and for my wife.  She has a small ear and they came with many size plugs and she used the smallest one and they worked well for her.  Just got them today and I'm very impressed 😎.
"
1426,"
Switches off automatically when not in use to conserve power
"
1427,"
Fit my ears perfectly,  sound quality is excellent and the noise cancelation I love when I don't want to hear certain people.  Lol.. Battery life a plus. I do recommend this!
"
1428,"
Had no idea what to expect as I've never had completely wireless ear buds but these are great for as cheap as they are! Great sound quality for phone calls and even greater when listening to music. Nosie canceling is superb.
"
1429,"
Overall great value
"
1430,"
They work alright but pretty touchy controls. The ear bud batteries only last a couple hours and the case only holds a charge for a couple days even if the ear buds aren’t used at all during that time.
"
1431,"
I use them so I don’t disturb anyone while I listen to audiobooks
"
1432,
1433,"
These were a great value and were easy to pair. Holds a long charge and fit very comfortably
"
1434,"
I wasn't sure if I should buy them or not but they were a great price so I did... and I'm SO happy. They have great speakers and battery life! Overall, I would definitely.
"
1435,"
Buen producto
"
1436,"
These sound as good or better then my $150 wired dual driver ear buds. Wish I'd found these first. New issue is after three weeks of vacation, these no longer work correctly, the left earbud is dead, will not factory reset like the youtube videos show. Lights up when returned to the case but won't recover after charging overnight, won't recover after repeated reset attempts. The left earbud is just dead, to bad I really liked the sound and fit.
"
1437,"
I got these for work and if so listened to only one earbud at a time, it would last my six hour shift which seems pretty normal. However, if I ever used them on a walk, they would go in and out and almost ‘skip’, whereas my husband’s earbuds (not this brand) would not do this when I used them. Additionally they just randomly stopped playing sound in them last week. Fully charged, fully connected, they even play the ‘connected’ sound and show connected to my phone, they just do not play sound any longer. Really unfortunate, would definitely not purchase again.
"
1438,"
Only good for the gym too low for phone conversations I almost never use them when I receive a call.
"
1439,"
These work great for me I can hear my music great over mower
"
1440,"
I like that they have great bass and I love that they last all day. Works great with calls. The only thing I have to be careful about is they are very sensitive. But other then that if I had to I would buy again...
"
1441,"
For the price, works good. Battery life could be better
"
1442,"
After my 11 yr old daughter lost her iPods I refused to purchase more. My daughter purchased these with her own money and she loves them. She said mom they work just as well and she has no issues. It's been 6 months and no complaint or issues
"
1443,"
Wife says they sound good and fit nice.
"
1444,"
Easy set up very comfortable great price for  the quality
"
1445,"
I haven't had these for a week and the right earbud is crackling and sound quality is horrible on that side. I've tried resetting the connection, charging, reading the instruction manual for problem shooting and still nothing. I do like the feel of the earbuds and LOVE the price and they did start out fantastic but I'm disappointed about one earbud dying on me like the old school headphones without having the time to go with it...
"
1446,"




                    The media could not be loaded.
                



 I works perfectly. The battery last for a long time. I can hear clearly. When I play my music I only hear my music. When I watch movies I hear the movie like I’m in a theater. Best Buy I’ve had in years compared to other ear pieces. Thank you Amazon
"
1447,"
If your pre-teen or your young teenager wants to start wearing some then these would be a good pair to start with.
"
1448,"
The price for this product is great and the quality is pretty good. As compared to the Apple earbuds, this is a great buy. You have used to the touches for volume, answering, etc., but they work really good.
"
1449,"
I've had these earbuds for about two months now and the sound quality and bass are phenomenal! They're very comfortable and I hardly ever need to charge them. I would definitely recommend purchasing these earbuds.
"
1450,"
There is nothing I dislike about this product. It has so much bang for the price. Sound quality is just as good as my AirPods.
"
1451,"
Great wireless air pods for the price.  Easy pairing!!
"
1452,"
Sound is not as good as described, poor sound quality. Better than others but still low quality.
"
1453,"
I have never owned wireless earbuds.  My new iPhone did not have a place for my other earbuds.  I did not want to spend a fortune in case I lose them. I love the sound. They actually fit in my tiny ears.
"
1454,"
Pros: The sound quality is pretty good. They’re comfortable and stay in my ears. Cons: I can no longer get both ear buds to sync. Only one will play. Very frustrating. The “controls” on them are sensitive and don’t work properly. The battery only lasts about 6 hours. Not the 30 that’s claimed.
"
1455,"
Husband loved especially because it came with different sizes for the ear ! Great buy!!
"
1456,"
There is so much noise in my office, I love that I can put these in, focus on my work and not hear all the commotion around me
"
1457,"
Very sensitive to touch hang up call trying turn volume up
"
1458,"
Husband uses them during kidney dialysis to cut down on the noise
"
1459,"
Works
"
1460,"
I absolutely love them! Much better than more expensive ones. Easy pairing with my phone. Great sound.
"
1461,"
For the price they were a good ear bud set for my son.
"
1462,"
I use them to run on the Peloton. The sound is better than expected (and I’ve gone through a lot of earbuds) and they don’t fall out.  I’ve actually forgotten to take them out after my run because they’re so comfy I forget I have them in.
"
1463,"
It’s good for this price but it didn’t came with charging cable so I am not able to use once charging is goneThat’s the only reason I had to return it
"
1464,"
First time buying wireless earbuds and with these , I was not disappointed. Sound was very clear and the the noise level very good. The charge last a long time. I think I must of charged it three time and I had these buds for about 3 months. I only use them when I'm at work. Great value for the money .
"
1465,"
These earbuds are pretty good for a cheap price. They have great sound quality but not great with noise cancellation. Even though the earbuds are made for small ears, I still have trouble having them stay in. I wish they could be turned up louder too for someone who is hard of hearing it’s difficult to be able to hear the music properly. Overall they are great and last a long time without charging.
"
1466,"
Work great, sounds good
"
1467,"
Served its purpose. Battery life not so long, though  the noise cancellation is where I want it....I can hear the speaker and my surroundings still. Sometimes cell can' t utilize (Bluetooth), but when it does, it works fine. Still figuring out how to have it in my ears without it falling off (twist it a certain way and it will not, but then the comfort level goes down a notch)  No complaints
"
1468,"
Yes have good quality
"
1469,"
Not much different than the Apple AirPods. I repeatedly lost my Apple AirPods so I went with a cheaper version and these work great.
"
1470,"
I use this when I go to the gym to workout they stay in my ears and have great sound and noise canceling. They also were really good with phone calls.
"
1471,"
I love this headset. It's stylish and works very well. The sound is great and is easy to pair to Bluetooth.
"
1472,"
Great quality and long battery life
"
1473,"
Easy set up. Great sound. Great product for the price.
"
1474,"
Surprised such a great quality for the price. Very pleased with the purchase.
"
1475,"
i didnt except them to sound so good and be so loud but they are🤭
"
1476,"
Me gustaron mucho recomendaría comprarlo me han salido muy buenos excelente compra para el precio
"
1477,"
Good base
"
1478,"
Very happy with my purchase. They are exactly as described.
"
1479,"
For the price I paid, these are already a great buy and find. Love the color. Best thing about these, they survived being put through the wash.
"
1480,"
I’ve had them for almost three weeks so there’s not much I can really say. But so far I’ve been enjoying these earbuds. The sound quality is great for me, they are loud. And, the battery life is great too. I just wish it could tell you the percentage when is charging, but other than that I love them.And you can’t beat the price…!!
"
1481,"
The earbuds was too big for me.  On your future product or existing one should state the size, since there are customers out there that has a small earlobes
"
1482,"
I’m always nervous to buy technology products that I’ve never heard of, but this one was not a regret! Especially for this price. The sound quality is great- way better than I imagined. I read some previous comments about how some people hate how the headphones are touchy, but I don’t mind it- I think it’s extremely convenient you control volume, change tracks, etc. They do fit a little big in my ear, but I typically don’t leave them in for an extended period of time for it to bother me.
"
1483,"
I haven't used a lot, and not using for music. Can't figure out how to increase the volume, as trying to use them with my phone to talk to family member on the way home. Still trying to figure it out. Even with different size tips, seems to be a bit big for my ears. No way I would be able to run and think these will stay in.
"
1484,"
Came with several sizes of pads for ears which is nice
"
1485,"
Easy to connect to my iPhone, however I am not as adept at ""tapping"" in the right place on the wings, so I have yet to go between listening to podcasts, etc and answering a call. Probably my issue.
"
1486,"
I like how they feel in my ear, they are very comphy and they don't feel too deep. I just wish they would stay in a little better. I think over all they are a wonderful product just think they need to have an over the ear back piece to make help them stay in a little bit better.
"
1487,"
These are my first pair of wireless earbuds and so far so good. I wasn’t looking to spend a lot of money and these are everything I was looking for and didn’t break my wallet. The only thing I could do without is the creepy lady voice that says “connected” or “low battery.” Haha other than that they’ve been great.
"
1488,"
Good product
"
1489,"
Nice earbuds!  I use them with my iPad Pro when doing zoom calls. Works perfectly.
"
1490,"
I wanted to like these, but I have super small ears, apparently, and even on the smallest rubber nub thing the buds will not nestle in my ears. There is no quality sound, nothing close to noise cancelling sound and I’m constantly having to adjust, push the bud or buds back into my ears multiple times when wearing them. Bought them to use while working out (low impact) and I regret having spent the money. I’m beyond the return window or I would return these and attempt to find a product to fit my needs and my ears.
"
1491,"
Sound is good. The side buttons are super sensitive and accidentally pause/unpause all the time. It’s super annoying when I lose track of where I am in my audiobook because I put them in my pocket for a minute.
"
1492,"
No bad things to say I love them
"
1493,"
Hasta ahora no he tenido problemas con la carga de la batería. El sonido está bastante bien, emparejan fácil con cualquier dispositivo. El micrófono no es tan bueno, las personas te escuchan como dentro de un cuarto con eco y un poco lejos. De resto todo muy bien, llegan muy bien empacados, viene con opciones de diferentes tamaños para ajustar los auriculares al oído. Hay que fijarse en cerrar el bluetooth del dispositivo para desconectar correctamente los audífonos cuando se regresan al estuche.
"
1494,"
UPDATE: While I loved these earbuds, the left one started to go out. I tried everything in the FAQs and manual, and finally I emailed their customer service...twice. Haven't received a response. I'm extremely disappointed that they couldn't even email me back.I must have weird ear holes because no ear buds are comfortable- except these. I jog with these and they stay put and don't bother me at all. My only complaint is that if I readjust them for any reason, I bump the pause button. Honestly though, these are fantastic. They also charge quickly and hold a charge.
"
1495,"
Do not waste your money on the $100+ earbuds when you can get these! They charge up quickly, the sound is great, perfect noise cancelation and easy to pair to a cell phone. I highly recommend
"
1496,"
Haven’t used them much yet but they fit well and the sound is perfect!
"
1497,"
I bought these for my sister and dad as a gift and then later for myself. I can say enough how much I and they love these. Why waste 200$ on airpods when these are here. They work awesome, noise canceling and great sound. I was so superised at how amazing these are. I'll probably end up buying this again
"
1498,"
These are comfortable and easy to operate. Nice charging case and several size ear plug size adjustments. Music is clear. However can’t hear very well when someone calls me.
"
1499,"
They look nice
"
1500,"
Continually falling out after holding my head down
"
1501,"
Main reason I returned these - Product page describes that as ""designed for small ears"" but they are extremely painful for my smaller ears.Secondary reason I returned - Would not stay in my ears while sitting in my office chair.  I would not trust them to stay in on a bike ride, bus ride, or even a walk.  They also no not come with any other ear cushions of different sizes and the material used is very flimsy compared to other in ear headphones I have used.Last reason I returned - tap controls as horrible.  Volume is not one of the controls available.  Volume can only be controlled from the phone/playback device.  Of the remaining controls, there is noticeable lag from when tapped before the action takes place.  This makes it difficult to know if it worked or if another tap is needed and can cause play/pause turn into next/previous track, or next/previous track to turn into voice assistant.  Or the worst, answer call turns into dismiss call.
"
1502,"
Love these ear buds. They work great. Great sound quality.
"
1503,"
very very good .i like that
"
1504,"
I love these earbuds. They work far better than much more expensive earbuds I’ve had. I enjoy these more than my airpods.
"
1505,"
These are a lot more comfortable than AirPods.
"
1506,"
So what I didn't like about them was that it would interrupt the music when I try to Fixin in my ears. I constantly kept hitting the pause button.. The battery life was very poor wouldn't last too long, But I must say it had an amazing sound
"
1507,"
Like everything
"
1508,"
I use them while at work , battery life is excellent 🤩but they have a little echo
"
1509,"
They’re ok.  Works better with android devices.  Battery life isn’t so great.
"
1510,"
I am aware that these are not noise-canceling earbuds. However, I was not prepared to be able to hear absolutely everything when I am listening to music at a decent volume while wearing these. If you want your earbuds to be able to block even a little noise while you're listening, do not buy these. The battery life also isn't great - about 5 hours at a low to medium volume.
"
1511,"
Very good sounds quality.
"
1512,"
This item is easy to set up, easy to charge and sleek with great audio.
"
1513,"
If you're expecting ""extra bass"" you won't get it from this product. The shape of the ear buds are bulky and doesn't sit comfortably in the ear. That's my experience.
"
1514,"
Great dupe to the apple air pods. Comfortable to wear and does not fall out while working out
"
1515,"
I was apprehensive when I ordered these as I looked at both of my adult kids with there expensive iPods.  However, I now just laugh and point out that mine are just as awesome at 1/20th of the cost.  The battery life and sound quality works perfectly for me.
"
1516,"
Works well picking up blue tooth signals
"
1517,"
These earphones are great. The sound quality is wonderful. I’ve been using them everyday all day since I purchased them. Only had to charge them once twice so far and I’ve had them for a week.  Very satisfied with my purchase.
"
1518,"
These have ok sound for listening to music. They don't sound clear for phone calls for the people on the other side of the phone calls. It's annoying when I'm talking to somone and they can't understand me and say I sound like I'm under water. I wouldn't recommend,  just use the money for a better quality
"
1519,"
I love everything about these earphones. I tried so many others that always had some sort of problem. These are very sturdy and good quality. Sound is very clear and loud enough. The battery lasts so long that I haven't had to charge them yet and I have had them for over a month. Also, the price is a great value. I would recommend these and not hesitate to buy another or give as a gift.
"
1520,"
Buds fit perfect for working out or sitting around.Sound quality is amazing for the price you pay!Easy to work (pause, play, skip) with the touch of a finger!
"
1521,"
These headphones are ok sound quality wise and eveything else, but even on the lowest volume, they’re still way too loud and it hurts my ears…Seriously, on the lowest volume it’s still sometimes nearly 80 decibels, it doesn’t go any lower than about maybe 65 depending on what you’re listening to. Pretty annoying for those with sensitive ears, like myself.
"
1522,"
Good sound and noise canceling
"
1523,"
these are ridiculously good, price not included they sound like expensive airpods. only thing that was a little jarring was the lady saying connecting when you put the pods in but it’s definitely easy to look past it. i love these.
"
1524,"
I have bought a couple pairs from Apple and the sound quality of these are amazing
"
1525,"
Amazing earbuds. Wish the volume was better for calls. Volume for music is awesome and the battery life is great.
"
1526,"
They were Ok for a bit. Fit into the ear OK, no problems pairing. And then BAM. One earbud went rogue. It would turn the volume up to 100, and if I tried to turn the volume down on my phone the earbud would unpair and shut down. returned.
"
1527,"
This just wasn't what I was looking for.
"
1528,"
Wow! What great sound! The buds are a little slippery and somewhat difficult to remove from the case without practice. But this is only a minor and temporary inconvenience when compared to the great overall value.
"
1529,"
Earbuds would not stay in place and sound quality was okay but sounded off at times.
"
1530,"
Thought the quality would be better than the cheaper brand not so sure
"
1531,"
Sound is good but to forward & reverse to next song it works one day or it will not work another day I got use to using my phone for that
"
1532,"
Bought these for my 13 year old and he loves them
"
1533,"
Really like them. Easy to set up.
"
1534,"
I like its value. It’s all worth it!
"
1535,"
It's nice but I got the black A2 before they worked better but this one do the job.
"
1536,"
none
"
1537,"
they are loud and good sounding
"
1538,"
My two college kids like these because no one tries to steal them and they don't worry about losing them on campus. Bith say these are perfect for the gym. Both kids have android phones.
"
1539,"
Cheap plastic case. Plays music just fine, but the AI voice is horrible. The first time I heard her voice I thought the thing was broken, it's just so much worse than playing music. They really could've just made the connection and pairing noises beeps and boops and it would've been 10x better than hearing this woman say connecting. You can't even turn her down or nothing, it's really terrible
"
1540,"
The sound quality as well as the amount of bass that come from these is Amazing!
"
1541,"
I bought it to connect it to my android cell phone. I was having a problem at first, but after several tries, the Bluetooth finally worked. The battery lasts for about 8 hrs. (more or less) before recharging is needed.
"
1542,"
So far they have a much better battery life than my galaxy buds. I miss the wireless charging feature on my buds but these work just fine.
"
1543,"
Good product! Great price.
"
1544,"
Easy to pair with my phone
"
1545,"
Love this product,  love that it recharges in case after use. Great price and color for workouts outdoors or in.
"
1546,"
I really loved the Earbuds they are just perfect in color and size. The price is unbeatable. ❤️❤️I have no complaints. I only hope they last a while if not I would definitely buy them again.
"
1547,"
Listen, these are great. They work like they're meant to. I enjoy the sound quality, both when listening to music and when talking to people on the phone.I found the pads that fit my ears easily.I don't have to listen to my coworkers anymore.Get them.
"
1548,"
My husband and I have been walking outdoors for several months. Sometimes it gets a little boring and hard to push through with the heat so I ordered these so I could listen to music to better pass the time. My son recommended these. The sound is great. The battery is more than long enough and they come with several sizes of soft ear piece covers for comfort and good fit.
"
1549,"
Excellent quality and good price.
"
1550,"
I've had a number of different kinds of earbuds. These are comfortable, great sound, easy to use, have only charged them once in months. My wife liked it and got her own set
"
1551,"
They work well.
"
1552,"
I love these! They are so nice and easy to use
"
1553,"
Better than my tozo t12s
"
1554,"
Sound quality is fantastic!
"
1555,"
These are great so far. I can hear perfectly with these ear buds.  On phone calls,  the other person can hear me clearly also. The battery seems to last long but I don't use them all day long.
"
1556,"
Sometimes the left ear bud is out of sync from the right ear  bud so I have to pause whatever I'm listening to in order for both earbuds to connect. Also when I'm crossing the street the earbuds will disconnection.
"
1557,"
BUY THESE!Love the sound. Clear as a bell. Work well independently. Battery life is better than my expensive ones.These are exceptional in every way. What a buy at the price!
"
1558,"
They are good headphones. The only problem that I have is the battery doesn’t last for long. They only last for about 5 hrs then I have to constantly keep taking them out and putting them back in the charging case. They would be fully charged when I have to do this.
"
1559,"
Great quality sound, good fit and 4 size options for ear tips. Once I figured out how to use them, they are easy to use.
"
1560,"
wife loves the ease of use...just pull them out of the case and they are on...no buttons to mess with
"
1561,"
Funcionan perfectamente
"
1562,"
I ordered these when thy were on sale and wasn't sure what kind of quality they would have, I was happily surprised they sound great and are super cute! Very happy with this sale purchase!
"
1563,"
Has really good sound, but they will not stay in your ears very well. Is it buying a different pair.
"
1564,"
The Apple earbuds disappeared - replaced them with these.  Seems to be a good value so far.  Nice sound.
"
1565,"
These were good until I accidentally left them plugged in overnight in my office. The next day they went up in smoke!
"
1566,"
It fits my ear perfectly and doesn't fall from excessive movement either so working out and working is fine with these headphones.
"
1567,"
Im very happy with my purchase!
"
1568,"
Followed instructions on the listing,  but only one ear played on iphone.  Had other problems on Android.  Would cut in and out,  which I couldn't fix.  And was switching audio from ear to ear,  which I fixed by selecting mono.  I'm returning these for something better.  I wouldn't waste my money on these.  It was like they intentionally made these poorly.
"
1569,"
I loved these buds. I might get some more. These buds were separated in an accident and now I have just one.
"
1570,"
So glad I purchased these.  I checked over all the reviews and saw where everyone was pleased so I decided to purchase them
"
1571,"
Hello, can't figure out how to use properly or why controls stop working after only 1 hour of use...but I am not an electronic kind of person
"
1572,"
I wanted to get new earbuds since my AirPods were starting to wear out. I came across these Aihoor earbuds and was skeptical, even after reading reviews. I will say that after using them for a few days now, I am really impressed with how these sound. The bass is amazing and they are very sleek in a matte black case. They also connect rather easily once connected to bluetooth!
"
1573,"
Mainly, they don't fit so I constantly have to push them back into the right position. This is causes them to turn off. Then randomly i'll pull them both out of the case and one will just turn it self off completely. So i have to put it back in and take it out to turn the earbud back on. People can't hear me that well either and that's bad because I'm LOUD. Other than that the sound quality is pretty good. And people can't hear what you're doing.
"
1574,"
The darn things don’t hold the charge as advertised, but still a decent set of buds. When I put them up I have to drop them in a couple of times to make sure they are connected properly for the charging to work.
"
1575,"
Touch sensitive these are.Which makes them weird for me atleast.it was so inconvenient to take the out of the box... not a good design if you ask me.They do look nice.I couldnt get the voice control to work somehow.I had to return them anyways.Didnt like them really.Sound was OK though. Nothing fancy as such.
"
1576,"




                    The media could not be loaded.
                



 These earbuds are lit 🔥 the cancel out everything when u wearing them. And they are super loud u can hear them outside the headphones. I love them. Perfect for when I'm at work
"
1577,"
Lo ocupó para ir a todas partes es muy buena compra
"
1578,"
I like the color and I also like the way they performed and the sound that came out of the ear part.
"
1579,"
Sometimes when it pairs it only recognizes one of the headphones, sound only comes out of one of them. So I have to put them back in the case and take them out again and re-pair them, and usually that will fix it. The sound quality is not fantastic but it’s expected for this price. I haven’t had any issue with the controls on them.
"
1580,"
These were recommended by my daughter and they are super good quality sound !  Easy to operate and come with a nice charging case with a charger cable.
"
1581,"
I bought these because of all the positive reviews. Not sure if I purchased a defective pair, but mine are extremely low. I think they’re decent for playing music. But other than that they’re not very good. I can barely hear what the person is saying while on a phone call.
"
1582,"
These ear buds sound great and are easy to use! The price is awesome for these.
"
1583,"
They have excellent battery life and the noise cancellation works great! The sound is good and they get used plenty while I’m walking/running
"
1584,"
thinking about getting a second set for work.
"
1585,"
These were bought on a whim because they were on a flash sale. I wish I had bought many more for gifts.Sounds quality is great but the really amazing part is how well they maintain connection and sound quality even at absurd distance.
"
1586,"
It works perfect considering the price
"
1587,"
This is pretty nice for the price. I generally use AirPods Pro’s. Went on a whim with this one and I am pleased. Sound quality is crisp. The bass and low is very audible. If you’re a skeptic, don’t be. Try it out.
"
1588,"
It pairs easily to my phone. It uses a type C charger. Battery life is long depending on how often you use them. After 3 hours or so, it does cause some discomfort but it is bearable. Not bad for wireless earbuds.
"
1589,"
Very good quality for the price. No complaints
"
1590,"
Easy to pair and use. Less expensive than the other name brands.
"
1591,"
Buenos artículos, los compre para mis hijos y están felices; son útiles, buen diseño, fáciles de portar, colores muy vivos. Gracias
"
1592,"
Had never used earbuds Till I started this job didn't want to spend a fortune now I know I don't have to these earbuds are awesome very clear works perfectly
"
1593,"
Really liked the price point and they sound great. Easy to pair them.
"
1594,"
Hurts my ears even with the smallest ear Bud
"
1595,"
Poor sound quality and only worked ""right"" for a week, then the sound started cutting out like every 5 seconds which is agitating. I didn't notice any type of noise cancelation. Then the left stopped charging right and when I would use both together the left would force the volume of both all the way down, then power off the left one only. Aside from that they are hard to get in and out of the case because the squared shape of the stems and they are too short to grip easily. I bought them because the reviews were mostly good but that wasn't my experience with them. They are going back right now.
"
1596,"
I like everything about these ear buds I was looking for a great Sound and I found them in these ear buds. Great Buy!
"
1597,"
They work just fine.  Always connect to bluetooth easily
"
1598,"
After less than a month of use (at tops, 3 hours per day) the ear pieces stop connecting all the way. Only one ear piece would connect at a time. I tried everything to get them to connect together again with no luck.Thankfully I didn't spend a lot of money on these because they are cheaply made.
"
1599,"
This product is very loud and has an amazing battery life it feels like there is nothing is in your ear 👂🏾 very light weight
"
1600,"
I gave these three stars based off the color which matches my iPhone. Other than that I wasn't impressed. The headphone controls are too sensitive and at times I found myself skipping songs when I wanted to pause or turning up the volume when I simply wanted to adjust the placement of the earbud. Also there are too many control and light options to remember to signify battery life, Bluetooth connect etc. Keep it simple. I returned these.
"
1601,"
Husband loves, they withstand his exercise manly-man activities, great deal
"
1602,"
Very clear sound and compact
"
1603,"
Bought these for my son. He loves them. For the money, they have good sound. They're comfortable to wear. Makes it easier to talk and hear on the phone.
"
1604,"
They are perfect for around yard use and listing to phones music
"
1605,"
I like the sound quality so far good
"
1606,"
Overall I am happy with the earbuds, but the sound quality could be a little better.  Other than that.  It seems to be doing a good job.
"
1607,"
I love the product and the sound is just unbelievable nothing bad to talk about it, I got the first one for my wife and then I got one for myself! I recommend it
"
1608,"
I read & researched & the product description was impressive.  HOWEVER, I attempted to use these buds, only 3x. I use buds to focus on my workout. The Right bud first did not work at all, so, I charged it more. Then, it worked and kept shutting off. After wearing these buds for less than 15 minutes, a strange, annoying sounds come from both buds, that I am 'fear' of doing some SERIOUS audio/ear damage, from the buds!!!! SCARY.  I WILL BE RETURNING THIS ITEM, SADLY THEY DON'T WORK.-L
"
1609,"
I like these because it is great sound quality  that I can listen my music while working! Very convenient!
"
1610,"
Simply put, the buds won't pair after just a few months from purchase and with minimal use. Item was used less than an hour a week for a few month, maybe 20 hours total and then they simply stopped pairing. I can get sound out of only one bud, sometimes the left, usually the right, but never both. I spent 2 hours trying to fix the issue before concluding that they were fubar.That's only the half of it. From day one, they would lose connection briefly in either the right or left bud depending on which pocket I had my phone. Phone on the left, the right bud would skip, phone on the right, the left bud would skip. The skipping occurred about once every song or two and lasted less than a second. I had to hold my phone out in front of me to avoid skipping. Note that my phone connects to my car, my friend's car and my home PC Bluetooth without issue.Finally, I can connect other buds to my phone without problem and encountered the same lack of pairing when trying to connect the Aihoor with a friend's phone. Result: These buds are worth about $1 max, anything more is a rip-off. A pair of tin cans connected via string produces more reliable sound.
"
1611,"
They work well.
"
1612,"
Sounds is good. Easy to operate. BUT, the sound does not completely match the picture. The sound is a fraction behind the lips, when watching someone talking/singing. I tried to reconnect, reboot, restart, reeverything.I guess you go get what you pay for. I’ll just use them for listening to music when I work out.
"
1613,"
good value so far for my money.
"
1614,"
This wireless headphones is wonderful and cheaper.
"
1615,"
The product works well when it works, but it will not last very long at all.  I have had two of them since july of 2022.  The first one's left bud never worked and I received a replacement.  The second one worked for about 3 months and now the left one has a battery time of about 10 minutes.Do not waste your money.
"
1616,"
Best fitting earbuds I have had yet. They haven’t fallen out when I have been moving around yet. Good sound quality and noise blocking. Overall very happy with this product.
"
1617,"
So far the only negative issue I've had is that they are a little hard to get out of case
"
1618,"
Awesome.  I'm an android user... I'm not one to usually use buds but I tried these.  Use them mostly to watch movies on Netflix and listen to audio books - GREAT!  For the price - Worth it!
"
1619,"
Very sensitive touch can mess up easily. Otherwise great sound. Use for personal and work
"
1620,"
I bought these so that I could use them with my motorcycle, but they did not work well with a helmet. They would shut off during my trips, which meant I needed to stop alongside the road to figure out what was going on. After just a few weeks, the left earbud stopped working all together.
"
1621,"
El producto suena muy bien, la batería está, bien, muy sensible al tocarlos, pero es cuestión de familiarizarnos con los toques , muy bien gracias
"
1622,"
It's an okay product. The sound quality is good, but having finger-print buttons is inconvenient. When I adjust the headphone in my ear I always accidentally push them and pause what I'm listening to. Also, I can only use one at a time for work. So having a layout where each headphone button has different functions is not useful to me and hard to navigate. Again, not a terrible product, but these are things to consider.
"
1623,"
I’ve only had them for a couple of months and the right earbud no longer works! Up until now they’ve  worked fine. Of course it’s beyond the return policy days so I’ll be looking for a different brand next time.
"
1624,"
Was hoping for a better outcome. No one can hear me talk when I use them. Which is a need for me, whole point of earbuds. Can still hear my neighbors fighting, noise canceling isn't a thing. Only thing that is nice about these. Battery does hold a charge
"
1625,"
I lost my first pair of these, which i HAD LOVED.The pair I bought this time around doesn't last long (like maybe an hour), doesn't charge well, and the sound starts and stops randomly.Super disappointed and wish I could find my first pair. :*(
"
1626,"
I've never had wireless buds before but took a chance.  Once you get used to the # of taps to make it work it has been fabulous.  Working, walking, or just relaxing, it's nice to move around and not have to open my phone every time to listen to music or talk on the phone.
"
1627,"
I mostly use these earbuds when I watch videos on my phone and answering phone calls. Works great so far. The battery lasts about 5 hours, which is a big plus. Only downside is a poor bass sound when I listen to music. But other than that, these earbuds are worth for the money.
"
1628,"
I actually like the product and works well in a quiet environment. Unfortunately I live and work on a busy traffic street and my clients cannot hear me.Sound is good for listening to music.Beware! I tried to return them after two weeks of trying to adjust to them and AMAZON is not taking them back!Apparently I have to deal with the third party.
"
1629,"
Love the ease of pairing
"
1630,"
Comfortable, good sound, and affordable
"
1631,"
I had to return this product for a refund. They would not stay connected to the Bluetooth. Would last a few minutes and then need reconnecting.
"
1632,"
I do not use these all day every day and I did not want to spend a lot of money.  These are great for what I use them for.  Would buy them again.
"
1633,"
They are great I use them mowing the lawn and can hear them perfect and great sound quality
"
1634,"
They don’t stay in when work around they house if you bend over to pick something up they fall ouf
"
